word,CH1_frequency,CH1_rank,CH2_frequency,CH2_rank,CH3_frequency,CH3_rank,CH4_frequency,CH4_rank,CH5_frequency,CH5_rank,CH6_frequency,CH6_rank,CH7_frequency,CH7_rank,CH8_frequency,CH8_rank,CH9_frequency,CH9_rank,CH10_frequency,CH10_rank,CH11_frequency,CH11_rank,CH12_frequency,CH12_rank,CH13_frequency,CH13_rank,CH14_frequency,CH14_rank,CH15_frequency,CH15_rank,CH16_frequency,CH16_rank,CH17_frequency,CH17_rank,CH18_frequency,CH18_rank,CH19_frequency,CH19_rank,CH20_frequency,CH20_rank,CH21_frequency,CH21_rank,CH22_frequency,CH22_rank,CH23_frequency,CH23_rank,CH24_frequency,CH24_rank,CH25_frequency,CH25_rank,CH26_frequency,CH26_rank,CH27_frequency,CH27_rank,CH28_frequency,CH28_rank,CH29_frequency,CH29_rank,CH30_frequency,CH30_rank,CH31_frequency,CH31_rank,CH32_frequency,CH32_rank,CH33_frequency,CH33_rank,CH34_frequency,CH34_rank,CH35_frequency,CH35_rank,CH36_frequency,CH36_rank,CH37_frequency,CH37_rank,CH38_frequency,CH38_rank,CH39_frequency,CH39_rank,CH40_frequency,CH40_rank,CH41_frequency,CH41_rank,CH42_frequency,CH42_rank,CH43_frequency,CH43_rank,CH44_frequency,CH44_rank,CH45_frequency,CH45_rank,CH46_frequency,CH46_rank,CH47_frequency,CH47_rank,CH48_frequency,CH48_rank,CH49_frequency,CH49_rank,CH50_frequency,CH50_rank,Total_frequency,Total_rank
invitation,20.0,1.0,2.0,94.0,,,,,,,1.0,261.0,3.0,50.0,1.0,253.0,,,1.0,271.0,,,1.0,531.0,,,,,,,,,,,,,,,1.0,358.0,1.0,317.0,,,,,4.0,48.0,1.0,442.0,,,1.0,295.0,,,,,,,22.0,2.0,,,,,,,,,1.0,130.0,1.0,197.0,,,18.0,5.0,,,,,9.0,6.0,,,2.0,206.0,,,,,1.0,376.0,,,23.0,3.0,1.0,177.0,117.0,64.0
accept,13.0,2.0,1.0,455.0,1.0,671.0,,,,,,,5.0,26.0,,,1.0,175.0,3.0,62.0,1.0,352.0,,,,,4.0,45.0,,,,,1.0,523.0,2.0,90.0,2.0,120.0,,,8.0,18.0,,,,,1.0,376.0,1.0,445.0,,,,,,,2.0,126.0,1.0,597.0,2.0,155.0,1.0,511.0,,,,,,,5.0,14.0,3.0,50.0,1.0,363.0,6.0,38.0,,,,,1.0,286.0,,,1.0,874.0,2.0,142.0,9.0,21.0,3.0,105.0,1.0,363.0,2.0,239.0,,,83.0,111.0
say,12.0,3.0,10.0,7.0,10.0,8.0,11.0,5.0,8.0,10.0,8.0,12.0,12.0,4.0,10.0,11.0,11.0,6.0,8.0,8.0,7.0,11.0,13.0,12.0,13.0,5.0,13.0,5.0,5.0,8.0,9.0,10.0,7.0,11.0,8.0,2.0,9.0,9.0,10.0,5.0,12.0,6.0,19.0,3.0,7.0,12.0,7.0,18.0,12.0,8.0,16.0,2.0,4.0,25.0,11.0,6.0,8.0,9.0,12.0,10.0,10.0,9.0,9.0,9.0,6.0,5.0,8.0,3.0,8.0,6.0,6.0,10.0,7.0,9.0,10.0,6.0,20.0,2.0,7.0,7.0,13.0,8.0,11.0,5.0,20.0,4.0,15.0,8.0,13.0,8.0,22.0,4.0,17.0,5.0,8.0,5.0,12.0,16.0,11.0,3.0,592.0,2.0
reply,11.0,4.0,,,,,,,,,1.0,260.0,,,,,,,,,,,1.0,249.0,1.0,735.0,,,,,,,1.0,232.0,2.0,66.0,,,1.0,307.0,,,1.0,455.0,,,1.0,271.0,1.0,307.0,,,,,,,,,1.0,323.0,6.0,24.0,,,,,,,,,,,3.0,69.0,1.0,539.0,10.0,15.0,,,1.0,645.0,4.0,34.0,,,6.0,46.0,2.0,187.0,,,,,,,8.0,38.0,,,70.0,142.0
pleasure,10.0,5.0,,,,,,,4.0,32.0,4.0,45.0,,,,,3.0,52.0,,,,,,,,,2.0,97.0,,,,,,,,,,,,,1.0,585.0,3.0,78.0,,,2.0,196.0,,,,,1.0,220.0,,,,,,,11.0,7.0,,,,,,,,,1.0,321.0,,,1.0,453.0,,,,,,,3.0,69.0,1.0,1046.0,1.0,858.0,,,1.0,753.0,,,1.0,237.0,8.0,39.0,5.0,17.0,63.0,163.0
person,10.0,6.0,9.0,10.0,,,13.0,2.0,3.0,51.0,7.0,15.0,9.0,8.0,3.0,61.0,12.0,4.0,7.0,12.0,3.0,29.0,5.0,43.0,14.0,3.0,4.0,41.0,,,9.0,9.0,13.0,4.0,5.0,15.0,2.0,119.0,5.0,15.0,10.0,10.0,12.0,7.0,3.0,54.0,10.0,6.0,6.0,26.0,23.0,1.0,1.0,161.0,6.0,33.0,5.0,22.0,20.0,2.0,10.0,10.0,14.0,3.0,2.0,85.0,5.0,9.0,,,2.0,73.0,7.0,10.0,20.0,2.0,28.0,1.0,1.0,212.0,15.0,5.0,9.0,7.0,3.0,141.0,4.0,82.0,21.0,2.0,25.0,3.0,7.0,23.0,,,11.0,18.0,7.0,9.0,449.0,4.0
happy,8.0,7.0,,,1.0,226.0,,,9.0,7.0,4.0,60.0,2.0,158.0,3.0,84.0,1.0,294.0,1.0,436.0,,,3.0,109.0,,,11.0,10.0,2.0,69.0,,,3.0,92.0,1.0,387.0,,,1.0,299.0,2.0,244.0,3.0,81.0,,,1.0,474.0,2.0,219.0,,,3.0,35.0,4.0,52.0,1.0,423.0,1.0,361.0,,,3.0,53.0,,,1.0,452.0,,,2.0,97.0,,,2.0,139.0,1.0,765.0,,,,,1.0,384.0,1.0,490.0,,,3.0,111.0,6.0,42.0,1.0,739.0,,,,,4.0,29.0,92.0,98.0
write,7.0,8.0,2.0,102.0,4.0,38.0,3.0,64.0,1.0,296.0,,,4.0,27.0,,,2.0,103.0,7.0,9.0,12.0,3.0,2.0,160.0,8.0,17.0,7.0,14.0,1.0,151.0,6.0,24.0,3.0,80.0,3.0,26.0,6.0,19.0,5.0,19.0,5.0,45.0,18.0,4.0,1.0,193.0,7.0,16.0,5.0,38.0,5.0,56.0,1.0,106.0,1.0,350.0,5.0,19.0,8.0,16.0,3.0,94.0,13.0,5.0,1.0,401.0,1.0,329.0,3.0,52.0,3.0,32.0,3.0,55.0,9.0,7.0,8.0,20.0,,,4.0,64.0,5.0,24.0,4.0,66.0,4.0,106.0,10.0,11.0,10.0,14.0,25.0,3.0,4.0,16.0,9.0,30.0,2.0,75.0,276.0,12.0
acceptance,7.0,9.0,,,,,,,,,,,1.0,609.0,,,,,,,,,,,,,,,2.0,72.0,,,,,,,,,1.0,487.0,1.0,460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,549.0,2.0,54.0,,,,,,,1.0,1053.0,,,,,1.0,811.0,,,1.0,602.0,,,18.0,678.0
pleased,7.0,10.0,,,1.0,532.0,,,,,5.0,35.0,,,1.0,497.0,,,3.0,52.0,,,,,1.0,951.0,4.0,39.0,,,2.0,209.0,3.0,93.0,,,1.0,472.0,,,1.0,624.0,,,1.0,314.0,2.0,200.0,,,,,1.0,249.0,,,,,7.0,22.0,1.0,631.0,,,1.0,347.0,,,1.0,333.0,1.0,424.0,,,1.0,530.0,,,,,,,5.0,19.0,,,,,1.0,655.0,1.0,720.0,8.0,20.0,,,3.0,151.0,4.0,43.0,69.0,146.0
dinner,6.0,11.0,,,,,,,,,,,1.0,715.0,,,,,,,,,,,,,,,,,,,,,1.0,483.0,,,,,,,1.0,645.0,,,2.0,114.0,,,,,,,1.0,590.0,,,1.0,271.0,14.0,6.0,,,,,,,,,,,,,1.0,280.0,,,,,,,,,,,,,2.0,238.0,1.0,759.0,2.0,177.0,,,2.0,189.0,1.0,426.0,37.0,314.0
other,6.0,12.0,4.0,33.0,1.0,529.0,6.0,14.0,5.0,25.0,4.0,58.0,9.0,7.0,2.0,102.0,2.0,99.0,3.0,53.0,2.0,54.0,6.0,31.0,8.0,19.0,4.0,43.0,3.0,32.0,4.0,49.0,4.0,51.0,2.0,69.0,4.0,35.0,3.0,42.0,7.0,24.0,11.0,9.0,8.0,8.0,3.0,67.0,1.0,422.0,5.0,46.0,7.0,7.0,7.0,26.0,6.0,12.0,14.0,7.0,7.0,19.0,9.0,10.0,3.0,28.0,4.0,16.0,6.0,15.0,8.0,7.0,5.0,23.0,3.0,41.0,18.0,4.0,7.0,5.0,15.0,6.0,5.0,17.0,12.0,11.0,4.0,107.0,15.0,5.0,5.0,49.0,4.0,64.0,5.0,13.0,12.0,14.0,,,330.0,9.0
letter,6.0,13.0,21.0,1.0,17.0,2.0,11.0,4.0,3.0,46.0,2.0,170.0,7.0,12.0,25.0,1.0,9.0,9.0,9.0,4.0,13.0,1.0,20.0,7.0,27.0,1.0,5.0,19.0,13.0,2.0,31.0,1.0,3.0,88.0,13.0,1.0,21.0,2.0,8.0,6.0,15.0,4.0,29.0,1.0,12.0,2.0,28.0,1.0,14.0,4.0,8.0,27.0,9.0,3.0,14.0,4.0,8.0,10.0,22.0,1.0,2.0,258.0,29.0,2.0,2.0,68.0,3.0,25.0,2.0,90.0,3.0,31.0,24.0,2.0,19.0,4.0,9.0,17.0,5.0,10.0,10.0,14.0,19.0,1.0,6.0,30.0,25.0,3.0,26.0,1.0,12.0,9.0,12.0,10.0,7.0,6.0,,,5.0,21.0,762.0,1.0
first,5.0,14.0,1.0,246.0,,,1.0,350.0,5.0,28.0,1.0,417.0,4.0,44.0,1.0,533.0,1.0,240.0,,,1.0,127.0,4.0,49.0,4.0,93.0,2.0,90.0,,,2.0,164.0,,,,,3.0,56.0,2.0,55.0,3.0,120.0,9.0,18.0,3.0,51.0,3.0,88.0,,,2.0,186.0,1.0,228.0,4.0,46.0,2.0,113.0,1.0,311.0,6.0,31.0,2.0,147.0,1.0,218.0,,,2.0,110.0,,,2.0,107.0,4.0,29.0,5.0,48.0,,,2.0,152.0,3.0,54.0,5.0,56.0,6.0,48.0,1.0,492.0,1.0,440.0,4.0,53.0,3.0,39.0,5.0,62.0,5.0,24.0,151.0,34.0
invitations,5.0,15.0,,,,,,,2.0,73.0,1.0,318.0,,,,,1.0,414.0,,,,,,,,,,,,,,,,,,,,,,,1.0,298.0,,,,,,,3.0,77.0,,,,,,,,,1.0,598.0,34.0,1.0,,,1.0,289.0,2.0,79.0,,,3.0,35.0,,,,,3.0,93.0,,,1.0,893.0,3.0,52.0,,,2.0,294.0,,,1.0,355.0,,,,,37.0,2.0,,,111.0,68.0
see,5.0,16.0,5.0,26.0,4.0,29.0,6.0,16.0,4.0,34.0,9.0,9.0,4.0,35.0,6.0,22.0,11.0,5.0,7.0,11.0,7.0,10.0,1.0,588.0,9.0,16.0,12.0,8.0,,,14.0,4.0,6.0,15.0,2.0,108.0,5.0,28.0,1.0,421.0,17.0,3.0,10.0,13.0,3.0,57.0,5.0,36.0,8.0,13.0,7.0,32.0,13.0,1.0,4.0,54.0,4.0,33.0,15.0,6.0,5.0,40.0,9.0,11.0,8.0,3.0,8.0,2.0,7.0,9.0,10.0,4.0,6.0,19.0,7.0,10.0,5.0,43.0,7.0,6.0,21.0,2.0,8.0,8.0,7.0,23.0,7.0,37.0,7.0,23.0,10.0,17.0,9.0,15.0,,,1.0,703.0,2.0,119.0,376.0,6.0
bid,5.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,586.0,,,,,,,,,,,,,,,,,,,,,1.0,599.0,,,,,,,,,,,,,,,,,3.0,107.0,2.0,49.0,4.0,83.0,1.0,509.0,,,,,,,,,,,,,,,,,17.0,725.0
have,5.0,18.0,7.0,17.0,3.0,72.0,12.0,3.0,6.0,21.0,3.0,97.0,5.0,25.0,13.0,6.0,10.0,8.0,2.0,97.0,8.0,7.0,3.0,77.0,9.0,15.0,6.0,16.0,1.0,187.0,7.0,16.0,6.0,21.0,7.0,3.0,13.0,3.0,7.0,8.0,7.0,25.0,9.0,19.0,7.0,15.0,5.0,39.0,6.0,33.0,8.0,24.0,3.0,45.0,7.0,27.0,5.0,23.0,13.0,9.0,6.0,30.0,10.0,8.0,2.0,86.0,7.0,5.0,5.0,28.0,6.0,11.0,2.0,102.0,1.0,341.0,12.0,11.0,4.0,13.0,17.0,4.0,5.0,23.0,13.0,9.0,10.0,19.0,17.0,4.0,10.0,15.0,7.0,28.0,6.0,10.0,10.0,28.0,8.0,4.0,379.0,5.0
offer,5.0,19.0,,,5.0,25.0,2.0,107.0,,,,,1.0,255.0,2.0,128.0,4.0,27.0,1.0,474.0,1.0,254.0,1.0,282.0,1.0,661.0,1.0,215.0,,,1.0,717.0,1.0,331.0,2.0,137.0,2.0,141.0,,,8.0,17.0,,,,,2.0,142.0,1.0,281.0,4.0,63.0,,,1.0,320.0,1.0,248.0,4.0,59.0,6.0,23.0,,,,,3.0,22.0,1.0,429.0,1.0,334.0,1.0,270.0,3.0,46.0,13.0,9.0,2.0,66.0,3.0,106.0,3.0,63.0,,,17.0,6.0,2.0,128.0,6.0,41.0,,,1.0,400.0,3.0,122.0,7.0,11.0,124.0,55.0
discuss,5.0,20.0,,,1.0,556.0,,,,,,,,,5.0,35.0,6.0,15.0,,,,,1.0,555.0,4.0,92.0,,,,,4.0,67.0,,,,,,,,,,,1.0,452.0,1.0,451.0,2.0,189.0,1.0,699.0,1.0,454.0,,,1.0,371.0,1.0,606.0,1.0,445.0,1.0,703.0,,,,,,,,,1.0,324.0,2.0,118.0,1.0,348.0,1.0,794.0,,,1.0,822.0,,,,,,,3.0,112.0,3.0,120.0,,,,,1.0,687.0,,,49.0,229.0
details,4.0,21.0,1.0,210.0,1.0,285.0,,,,,1.0,242.0,,,,,,,,,,,,,5.0,41.0,,,,,2.0,193.0,,,,,,,,,2.0,201.0,1.0,512.0,,,,,,,,,,,1.0,390.0,,,,,3.0,130.0,,,1.0,393.0,,,,,,,,,,,,,2.0,98.0,1.0,345.0,,,1.0,761.0,2.0,253.0,1.0,302.0,,,,,1.0,170.0,1.0,377.0,,,35.0,331.0
date,4.0,22.0,5.0,27.0,,,1.0,558.0,3.0,58.0,6.0,21.0,3.0,54.0,1.0,553.0,8.0,10.0,,,1.0,382.0,8.0,21.0,4.0,69.0,,,9.0,4.0,,,5.0,32.0,3.0,49.0,1.0,401.0,,,7.0,20.0,3.0,98.0,1.0,374.0,5.0,30.0,,,,,,,,,1.0,612.0,2.0,150.0,7.0,18.0,,,2.0,69.0,,,9.0,5.0,1.0,146.0,,,,,2.0,175.0,4.0,16.0,7.0,33.0,3.0,61.0,2.0,250.0,3.0,142.0,1.0,569.0,1.0,561.0,,,1.0,297.0,11.0,19.0,1.0,224.0,158.0,29.0
company,4.0,23.0,,,14.0,4.0,,,2.0,107.0,7.0,13.0,2.0,138.0,13.0,4.0,3.0,44.0,4.0,27.0,1.0,364.0,3.0,81.0,11.0,10.0,3.0,75.0,,,9.0,11.0,3.0,90.0,1.0,354.0,1.0,702.0,5.0,18.0,23.0,1.0,,,1.0,197.0,,,,,3.0,94.0,5.0,16.0,2.0,122.0,1.0,220.0,,,6.0,28.0,,,6.0,4.0,,,2.0,84.0,,,2.0,163.0,4.0,36.0,5.0,50.0,,,5.0,51.0,3.0,67.0,12.0,10.0,2.0,188.0,2.0,232.0,4.0,90.0,2.0,196.0,2.0,63.0,3.0,146.0,2.0,76.0,196.0,21.0
